DeviceID,Date,Usage,Cost
30,10/01/2022,1100,0.066
28,10/01/2022,3500,0.21
29,10/01/2022,4000,0.48
9,10/01/2022,636,0.61056
7,10/01/2022,100,0.048
47,10/01/2022,25,1.7550000000000003
50,10/01/2022,30,2.1060000000000003
30,10/02/2022,1100,0.066
28,10/02/2022,3500,0.21
29,10/02/2022,4000,0.48
9,10/02/2022,636,0.61056
7,10/02/2022,100,0.048
47,10/02/2022,25,1.7550000000000003
50,10/02/2022,30,2.1060000000000003
26,10/03/2022,6,0.8640000000000001
26,10/03/2022,1800,0.648
20,10/03/2022,20,2.4480000000000004
20,10/03/2022,500,0.12
21,10/03/2022,3000,0.72
30,10/04/2022,1100,0.044
28,10/04/2022,3500,0.105
29,10/04/2022,4000,0.36
9,10/04/2022,636,0.30528
7,10/04/2022,100,0.024
47,10/04/2022,12.5,0.5850000000000001
50,10/04/2022,12.5,0.5850000000000001
50,10/04/2022,15.0,0.7020000000000001
47,10/04/2022,15.0,0.7020000000000001
2,10/04/2022,60,0.0072
6,10/04/2022,60,0.0072
13,10/04/2022,60,0.0072
25,10/04/2022,60,0.0072
35,10/04/2022,60,0.0072
39,10/04/2022,60,0.0072
43,10/04/2022,60,0.0072
26,10/05/2022,6,0.8640000000000001
26,10/05/2022,1800,0.648
20,10/05/2022,20,2.4480000000000004
20,10/05/2022,500,0.12
21,10/05/2022,3000,0.72
30,10/06/2022,1100,0.044
28,10/06/2022,3500,0.105
29,10/06/2022,4000,0.36
9,10/06/2022,636,0.30528
7,10/06/2022,100,0.024
47,10/06/2022,12.5,0.5850000000000001
50,10/06/2022,12.5,0.5850000000000001
50,10/06/2022,15.0,0.7020000000000001
47,10/06/2022,15.0,0.7020000000000001
2,10/06/2022,60,0.0072
6,10/06/2022,60,0.0072
13,10/06/2022,60,0.0072
25,10/06/2022,60,0.0072
35,10/06/2022,60,0.0072
39,10/06/2022,60,0.0072
43,10/06/2022,60,0.0072
26,10/07/2022,6,0.8640000000000001
26,10/07/2022,1800,0.648
20,10/07/2022,20,2.4480000000000004
20,10/07/2022,500,0.12
21,10/07/2022,3000,0.72
30,10/08/2022,1100,0.066
28,10/08/2022,3500,0.21
29,10/08/2022,4000,0.48
9,10/08/2022,636,0.61056
7,10/08/2022,100,0.048
47,10/08/2022,25,1.7550000000000003
50,10/08/2022,30,2.1060000000000003
30,10/09/2022,1100,0.066
28,10/09/2022,3500,0.21
29,10/09/2022,4000,0.48
9,10/09/2022,636,0.61056
7,10/09/2022,100,0.048
47,10/09/2022,25,1.7550000000000003
50,10/09/2022,30,2.1060000000000003
26,10/10/2022,6,0.8640000000000001
26,10/10/2022,1800,0.648
20,10/10/2022,20,2.4480000000000004
20,10/10/2022,500,0.12
21,10/10/2022,3000,0.72
30,10/11/2022,1100,0.044
28,10/11/2022,3500,0.105
29,10/11/2022,4000,0.36
9,10/11/2022,636,0.30528
7,10/11/2022,100,0.024
47,10/11/2022,12.5,0.5850000000000001
50,10/11/2022,12.5,0.5850000000000001
50,10/11/2022,15.0,0.7020000000000001
47,10/11/2022,15.0,0.7020000000000001
2,10/11/2022,60,0.0072
6,10/11/2022,60,0.0072
13,10/11/2022,60,0.0072
25,10/11/2022,60,0.0072
35,10/11/2022,60,0.0072
39,10/11/2022,60,0.0072
43,10/11/2022,60,0.0072
26,10/12/2022,6,0.8640000000000001
26,10/12/2022,1800,0.648
20,10/12/2022,20,2.4480000000000004
20,10/12/2022,500,0.12
21,10/12/2022,3000,0.72
30,10/13/2022,1100,0.044
28,10/13/2022,3500,0.105
29,10/13/2022,4000,0.36
9,10/13/2022,636,0.30528
7,10/13/2022,100,0.024
47,10/13/2022,12.5,0.5850000000000001
50,10/13/2022,12.5,0.5850000000000001
50,10/13/2022,15.0,0.7020000000000001
47,10/13/2022,15.0,0.7020000000000001
2,10/13/2022,60,0.0072
6,10/13/2022,60,0.0072
13,10/13/2022,60,0.0072
25,10/13/2022,60,0.0072
35,10/13/2022,60,0.0072
39,10/13/2022,60,0.0072
43,10/13/2022,60,0.0072
26,10/14/2022,6,0.8640000000000001
26,10/14/2022,1800,0.648
20,10/14/2022,20,2.4480000000000004
20,10/14/2022,500,0.12
21,10/14/2022,3000,0.72
30,10/15/2022,1100,0.066
28,10/15/2022,3500,0.21
29,10/15/2022,4000,0.48
9,10/15/2022,636,0.61056
7,10/15/2022,100,0.048
47,10/15/2022,25,1.7550000000000003
50,10/15/2022,30,2.1060000000000003
30,10/16/2022,1100,0.066
28,10/16/2022,3500,0.21
29,10/16/2022,4000,0.48
9,10/16/2022,636,0.61056
7,10/16/2022,100,0.048
47,10/16/2022,25,1.7550000000000003
